WORD;WEIGHT;FIELD;CONNOTATION
vorwürffe;1;information / communication;context
votes;1;information / communication;context
vowel;1;information / communication;context
vues;1;information / communication;context
wait;1;information / communication;context
wishing;1;information / communication;context
prefatory;1;information / communication;context
lament[ing/ed];1;information / communication;context
copies;1;information / communication;context
magazine;1;information / communication;context
meaning;1;information / communication;context
medium;1;information / communication;context
beantwortung;1;information / communication;context
believed;1;information / communication;context
berichte;1;information / communication;context
beschreibung;1;information / communication;context
broadside;1;information / communication;context
call / calling;1;information / communication;context
corresponding;1;information / communication;context
licenses;1;information / communication;context
literarum;1;information / communication;context
literature;1;information / communication;context
lie / lying;1;information / communication;context
manuscript;1;information / communication;context
meditatio;1;information / communication;context
memoranda;1;information / communication;context
memorie;1;information / communication;context
chapbook;1;information / communication;context
catalogues;1;information / communication;context
catalogus;1;information / communication;context
circulaire;1;information / communication;context
korrespondenzen;1;information / communication;context
lamentation;1;information / communication;context
languages;1;information / communication;context
lens;1;information / communication;context
original;1;information / communication;context
manifestes;1;information / communication;context
intercepted;1;information / communication;context
intitled;1;information / communication;context
mark'd;1;information / communication;context
medals;1;information / communication;context
kriegsbegebenheiten;1;information / communication;context
charter;1;information / communication;context
gebete;1;information / communication;context
bücher;1;information / communication;context
prétendire;1;information / communication;negative
suspicion;1;information / communication;negative
accusations;1;information / communication;negative
accuses;1;information / communication;negative
additions;1;information / communication;neutral
abstracts;1;information / communication;neutral
ablesung;1;information / communication;neutral
chronicles;1;information / communication;neutral
adjournment;1;information / communication;neutral
acknowledge;1;information / communication;positive
accurater;1;information / communication;positive
d'affaires;1;information / communication;context
comedy;1;inf;context
